Children,Elderly,NonWhite,Poverty,Education,English,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,HousingQuality,Homeless,LivAlone,FloodHealthIndex,INTPTLAT10,INTPTLON10,geo
0.174831,0.159,0.644,0.225606,0.855,0.115,72.0036,0.0,0.00313447,6.4,10.72,2.498,0.079,3.61477,1.8761,0.23,44.2662,37.7394374,-122.4942484,POINT(-122.4942484 37.7394374)
0.133924902,0.186999866,0.755,0.214403894,0.762999502,0.183999855,52.8833,0.0,0.00194515,6.4112,10.7416,2.5082,0.09499996,2.35452,1.8761,0.226999941,48.6129,37.7357698,-122.4943028,POINT(-122.4943028 37.7357698)
0.191754,0.174,0.67,0.118961,0.916,0.109,34.9286,0.0,0.0104879,8.0,13.81,3.9498,0.064,3.5134,0.2606,0.143,45.9594,37.7328905,-122.4937858,POINT(-122.4937858 37.7328905)
0.128435157,0.235000069,0.196999,0.071505097,0.99400069,0.015000024,89.6296,0.0,3.27178E-4,6.2567,14.4329,2.8157,0.069000057,3.87597,0.3448,0.470000234,37.2397,37.792177,-122.4404105,POINT(-122.4404105 37.792177)
0.128435157,0.235000069,0.196999,0.071505097,0.99400069,0.015000024,89.6296,0.0,3.27178E-4,6.2567,14.4329,2.8157,0.069000057,3.87597,0.3448,0.470000234,37.2397,37.7951697,-122.4393181,POINT(-122.4393181 37.7951697)
0.106149682,0.137999586,0.218002,0.118616644,0.965997102,0.013999958,209.286,0.0,5.2696E-4,12.1,23.1,5.4453,0.053999838,6.32467,0.3448,0.464998605,34.8865,37.7899968,-122.4433864,POINT(-122.4433864 37.7899968)
0.105482727,0.135999649,0.354002,0.182772435,0.953997538,0.048999824,130.764,0.0,0.00817974,12.1,23.1,5.4453,0.061999828,10.7629,0.3448,0.388999096,50.5462,37.7872735,-122.4428347,POINT(-122.4428347 37.7872735)
0.105482727,0.135999649,0.354002,0.182772435,0.953997538,0.048999824,130.764,0.0,0.00817974,12.1,23.1,5.4453,0.061999828,10.7629,0.3448,0.388999096,50.5462,37.7865375,-122.441009,POINT(-122.441009 37.7865375)
0.105482727,0.135999649,0.354002,0.182772435,0.953997538,0.048999824,130.764,0.0,0.00817974,12.1,23.1,5.4453,0.061999828,10.7629,0.3448,0.388999096,50.5462,37.7858221,-122.4391112,POINT(-122.4391112 37.7858221)
0.08949,0.142,0.186,0.143991,0.965,0.008,43.0755,0.0,0.0,0.0,5.16,0.0,0.057,4.72814,0.3448,0.485,32.233,37.7960053,-122.4327429,POINT(-122.4327429 37.7960053)
0.068511235,0.337000286,0.518999,0.389862441,0.859002015,0.224000115,127.819,0.0,0.0103421,12.1,23.1,5.4453,0.273000149,5.49726,3.216,0.531000795,70.8595,37.7839892,-122.4387813,POINT(-122.4387813 37.7839892)
0.060428819,0.203999388,0.490002,0.29012213,0.8999973,0.102999691,152.28,0.0,0.0,6.545,10.7416,3.6605,0.10999967,8.59342,4.9374,0.496998509,53.1598,37.7942205,-122.4102169,POINT(-122.4102169 37.7942205)
0.063924,0.145,0.355,0.16519,0.955,0.078,86.2689,0.0,0.00463633,7.8368,30.2676,3.7941,0.077,7.57135,3.179,0.54,55.8462,37.7990181,-122.4240762,POINT(-122.4240762 37.7990181)
0.061374,0.188,0.155,0.161374,0.996,0.01,-2.13881,0.0,0.00206312,7.7003,29.8302,3.728,0.037,6.82594,0.3448,0.581,54.5328,37.804612,-122.425204,POINT(-122.425204 37.804612)
